Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> if we are to get a common transport market genuinely up and running it is important that we should not only have regulations but that these regulations should also as far as possible apply to every country <EOS>    PP Score = 6.194
<SOS> i should like to conclude by commenting on a third matter which is also of significance namely an amendment tabled by member of parliament mr ari vatanen <EOS>    PP Score = 5.955
<SOS> in many ways the prerequisites differ from one member state to another <EOS>    PP Score = 6.520
<SOS> by approving this amendment we take account of the fact that it can be very cold in the northern parts of the european union <EOS>    PP Score = 8.179
<SOS> this makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind <EOS>    PP Score = 5.635
<SOS> it is good that in establishing the present regulations we can also be flexible <EOS>    PP Score = 7.319
<SOS> i hope that the commission is able to accept the present amendment <EOS>    PP Score = 6.377
<SOS> the reason mr koch produced his sound report was because the work in the cen and within the united nations economic commission was proceeding none too expeditiously <EOS>    PP Score = 7.338
<SOS> i would like to ask the vice president if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations and whether the eu is in a position to hasten these harmonisation efforts in accordance with principles that are as simple as possible <EOS>    PP Score = 6.142
<SOS> for one thing is clear even if we come to an excellent arrangement within the european union traffic does not stop at our borders it goes beyond them <EOS>    PP Score = 8.636
<SOS> hence there is certainly every reason to introduce more far reaching regional provisions <EOS>    PP Score = 8.400
<SOS> if the commissioner is unable to do so today then would she be prepared to inform the committee in writing of how matters stand and what stage negotiations between the cen and the economic commission are at <EOS>    PP Score = 6.482
<SOS> mr president i would once again like to congratulate mr koch on his magnificent work on this other report which in a way supplements the debate which we held in october on rail transport <EOS>    PP Score = 5.106
<SOS> we all regret that the european committee for standardisation cen has not been able in the required time to carry out the amendment of the provisions necessary for the required harmonisation within the european union <EOS>    PP Score = 6.635
<SOS> this debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this europe of ours <EOS>    PP Score = 6.857
<SOS> a moment ago mr vatanen spoke to us of lower temperatures not of <NUM> degrees below zero but of <NUM> degrees below zero <EOS>    PP Score = 5.554
<SOS> of course we accept that amendment it is absolutely right and i believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the european union which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature <EOS>    PP Score = 6.783
<SOS> i would like to say with regard to mr swoboda s comments on the activity of the cen that we are urging them to speed up their work as much as possible because it would be terrible if despite the new deadline we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded <EOS>    PP Score = 6.738
<SOS> lastly mr president the basic problems justifying this amendment of the directive have been pointed out we have referred to the delay by the cen the amendment of certain provisions the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific <EOS>    PP Score = 7.496
<SOS> the commission accepts all of the contributions of the parliamentary committee and the rapporteur mr koch which are contained in the various amendments specifically four <EOS>    PP Score = 8.480
<SOS> we therefore accept the four amendments which have been proposed <EOS>    PP Score = 10.068
<SOS> the debate is closed <EOS>    PP Score = 4.749
<SOS> the vote will take place tomorrow at <NUM> p m <EOS>    PP Score = 2.161
<SOS> structural funds cohesion fund coordination <EOS>    PP Score = 22.901
<SOS> the next item is the report a<MOB> 199 by mrs schroedter on behalf of the committee on regional policy transport and tourism on the communication from the commission in the field of the structural funds and their coordination with the cohesion fund guidelines for programmes in the period <MOB> <FOOTNOTE> <EOS>    PP Score = 2.525
<SOS> mr president it is particularly pleasing for me to make my first speech in the european parliament on what is regarded as the most important issue within that part of the united kingdom that i represent in this parliament namely wales <EOS>    PP Score = 8.145
<SOS> a major part of wales as you know has been granted objective 1 status under the structural funds programme <EOS>    PP Score = 9.159
<SOS> it is quite clear that many people within wales are looking to the european structural funds programme to alleviate some of the great difficulties that we undoubtedly face <EOS>    PP Score = 6.913
<SOS> we have seen poverty growing in wales and growing still further since <NUM> <EOS>    PP Score = 7.566
<SOS> we have seen the gap between rich and poor widen <EOS>    PP Score = 8.552
<SOS> we are looking therefore within the structural funds programme not just to see industrial restructuring but also to see a wider improvement in the whole of the economic base within the principality <EOS>    PP Score = 8.502
<SOS> what is however deeply damaging for us is the belief that in some way the granting of structural funds assistance is something that has been in a sense a success of the government it is sadly only a recognition of the very great difficulties that wales faces <EOS>    PP Score = 7.377
<SOS> that is why i want to highlight some of the issues that i believe the commission must have at the forefront <EOS>    PP Score = 8.894
<SOS> we look to the commission to deal with points in relation to additionality <EOS>    PP Score = 17.457
<SOS> we are dissatisfied with the fact that those figures seem to have been in some way hidden within uk figures <EOS>    PP Score = 9.399
<SOS> we look to the commission also to ensure that there is matched funding for projects <EOS>    PP Score = 11.022
<SOS> we look to it to challenge the uk government to ensure that the private sector which surely must be providing the major impetus for structural funds expenditure is involved in the planning stage <EOS>    PP Score = 6.531
<SOS> finally we ask that the commission ensures that structural fund monies are spent in a way which is transparent <EOS>    PP Score = 8.318
<SOS> too much of what takes place within this parliament is not transparent <EOS>    PP Score = 14.662
<SOS> this is one area in which i believe the commission can be a very great friend to wales <EOS>    PP Score = 12.622
<SOS> mr president our committee views these issues very differently and to start i will speak from the point of view of research <EOS>    PP Score = 5.376
<SOS> we see it as a very positive sign that in her own conclusions the rapporteur has taken account of our committee s proposal that the cohesion fund countries should broaden the research infrastructure by locating universities and colleges in such a way that they would serve those who live in undeveloped regions better than now and make it easier for educated people to remain in their home districts <EOS>    PP Score = 5.290
<SOS> this will be possible with action on the part of governments and such decentralisation of higher education will be an unquestionably useful policy in evening out development <EOS>    PP Score = 6.567
<SOS> another matter we would like to address specifically from the point of view of industrial policy is that we would have liked the commission to pay more attention to the effects of services electronic commerce and the growing use of the internet when they were planning the coordination of structural funds and cohesion funds <EOS>    PP Score = 7.305
<SOS> poverty and wealth used to depend more on means of livelihood <EOS>    PP Score = 8.850
<SOS> the rich areas were those where there were jobs in industry but today those areas might have become a burden and they may well be poor meaning we also have to invest in new sectors of industry such as electronic production as i might call it and the production of services because they are the industries of the future <EOS>    PP Score = 5.655
<SOS> in my opinion the committee drafting the report has not taken sufficient account of this so on behalf of the committee on industry external trade research and energy i would draw the commission s attention to this issue <EOS>    PP Score = 4.917
<SOS> finally as the committee representing energy we would have liked the issue of support for renewable energy resources from cohesion and regional development funds to have been emphasised still more thus through a process of coordination increasing the use of renewables so that the scant funding resources in the energy programme might have been compensated by means of these more substantial sums <EOS>    PP Score = 6.785
<SOS> mr president i would very much like to thank mrs schroedter for the work she has done on this and to explain to colleagues that i am speaking for my colleague mrs flautre who followed this for the committee on employment and social affairs but who is unfortunately ill <EOS>    PP Score = 4.939
<SOS> i would like to draw people is attention to amendments nos 1 and 2 which were agreed by the committee on employment and social affairs but not accepted by the committee on regional policy transport and tourism <EOS>    PP Score = 4.366
<SOS> these amendments deal with the social economy and the need to provide social risk capital and support financially local schemes to develop employment opportunities and strengthen social cohesion <EOS>    PP Score = 7.104
<SOS> in the past this parliament has viewed the social economy as an important potential provider of employment <EOS>    PP Score = 7.999
<SOS> these amendments also fit in with this parliament is view that social exclusion is a serious issue needing constructive action <EOS>    PP Score = 8.091
<SOS> we hope that those considering rejection of these amendments have very powerful reasons to offer to both parliament and their citizens who are seeking employment <EOS>    PP Score = 5.501
<SOS> in her report mrs flautre also drew attention to an area where coordination is sorely lacking yet desperately needed <EOS>    PP Score = 6.683
<SOS> the commission proposals refer to the four pillars of employment strategy and the five fields of action of the european social fund <EOS>    PP Score = 8.610
<SOS> but the lack of specific guidelines here is particularly to be regretted as the idea of linking social fund assistance to the employment strategy will be put into effect for the first time during the <MOB> programme <EOS>    PP Score = 7.228
<SOS> it could be said that the omission gives the impression that the commission too has no idea how to provide maximum coordination between european social fund assistance which is subject to review after three and a half years and the member states annual national plans for employment <EOS>    PP Score = 6.482
<SOS> we hope that the commission can reassure us that this was an oversight which is now being dealt with constructively <EOS>    PP Score = 9.317
<SOS> mr president commissioner the proposal presented by the commission in accordance with its mandate is a reasonable starting point for the committee on agriculture and rural development <EOS>    PP Score = 5.769
<SOS> i would like to point out however that this starting point indicates to us the challenges which face us maintaining a population in rural areas given the changes taking place in all types of economic activity owing to agriculture s increasing lack of importance amongst the various sources of income for rural society <EOS>    PP Score = 5.058
<SOS> this as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment which furthermore is seasonal and lacks diversity exacerbates the exodus from rural areas <EOS>    PP Score = 5.302
<SOS> the consequences do not inspire hope <EOS>    PP Score = 13.699
<SOS> it is the young people who are disappearing who are getting an education and finding work outside of the rural areas all of which has an unfavourable effect on those areas <EOS>    PP Score = 6.471
<SOS> this lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs <EOS>    PP Score = 9.829
<SOS> we have to remember that rural areas represent almost four fifths of the territory of the european union <EOS>    PP Score = 4.433
<SOS> agriculture only provides 5 5 of employment in the union <EOS>    PP Score = 12.927
<SOS> furthermore three quarters of our farm workers are part time and require supplements to their incomes <EOS>    PP Score = 7.378
<SOS> for this reason one of the most important and essential objectives which we should set in the european union is to make efforts to create new jobs in rural areas outside of the agricultural sector in sectors such as rural tourism sport culture heritage conservation the conversion of businesses new technologies services etc however even though the role of agriculture is not exclusive it is still essential not only to prevent economic and social disintegration and the creation of ghost towns but also because farmers play a fundamental role in managing the land in preserving biodiversity and in protecting the environment <EOS>    PP Score = 5.975
<SOS> therefore we support the establishment of an agricultural and rural development policy which is consistent with the objectives we have set we want rural areas at the dawn of the 21st century to be competitive and multi functional both with regard to agriculture and with regard to opening up to the diversity of non agricultural activities <EOS>    PP Score = 7.165
<SOS> it is important to prioritise general criteria for land planning and demographic equilibrium and to bear in mind the conclusions of the committee on agriculture and rural development on the five fundamental issues which have been only partly taken up by the committee on transport regional policy and tourism in its points <NUM> and <NUM> <EOS>    PP Score = 5.763
<SOS> in conclusion i would ask the commission to take these five points into account when establishing the conclusions on the four pillars because i believe that for the european union maintaining the population in rural areas must be one of the priority objectives <EOS>    PP Score = 7.568
<SOS> mr president commissioner i would like to begin by thanking mrs schroedter the rapporteur for her work <EOS>    PP Score = 5.527
<SOS> i think that this work has been carried out extremely well <EOS>    PP Score = 6.975
<SOS> i would also like to thank her for her willingness to enter into dialogue with the other political groups when compromise formulas have needed to be reached in the face of this avalanche of amendments and perhaps there are more of them than we expected but which genuinely reflect the importance of the report we are now discussing <EOS>    PP Score = 5.825
<SOS> we feel that it is important that the commission takes account of the conclusions adopted by this parliament at least in spirit because at this stage it might seem as though what we are doing here is a useless exercise and nothing but hot air <EOS>    PP Score = 6.333
<SOS> the truth of the matter though is that we believe and this is also shown in the way the conclusions have been drafted that the commission must take account of what is adopted by this parliament particularly in the face of an interim revision of these directives <EOS>    PP Score = 8.342
<SOS> in our amendments we have stated the importance of the necessary synergies being produced between the structural funds the cohesion fund and community initiatives so that their application should be reflected in the best and most profitable way by the gradual elimination of disparities between regions and by the creation of jobs which are when all is said and done the two central purposes of the funds we are discussing <EOS>    PP Score = 5.429
<SOS> in order to achieve a more rapid and efficient boost for attaining these objectives we think that those who generate employment the real entrepreneurs and those who really guarantee new sources of employment that is businesspeople must participate in this initiative <EOS>    PP Score = 5.939
<SOS> small and medium sized businesses above all need to take part in the distribution of these funds <EOS>    PP Score = 10.399
<SOS> if they do not if businesspeople feel marginalised if entrepreneurs cannot take part not only in managing but also in receiving these funds we will have missed an opportunity to attain our objectives more rapidly <EOS>    PP Score = 6.894
<SOS> also in order to attain our objectives to overcome the disparities between regions and to seek out sources of employment it is crucial to give our complete support to new technologies to transport and communications networks and to renewable energies <EOS>    PP Score = 6.425
<SOS> all of this must be done i repeat with the participation of private business which by uniting its efforts with those of public administrations but complementing them never obstructing or excluding them will lead to the creation of wealth in society and of jobs <EOS>    PP Score = 5.665
<SOS> mr president it is incumbent upon me to remind my colleague mr evans of why wales actually achieved objective 1 status <EOS>    PP Score = 5.767
<SOS> it was because of the discredited policies of his own conservative party <EOS>    PP Score = 8.484
<SOS> let me also remind him that when his party leader mr hague was secretary of state for wales he broke every rule in the book on additionality which led to a stern letter from commissioner wulf mathies regarding regulatory requirements <EOS>    PP Score = 5.787
<SOS> i can tell you that the british government is aware of its regulatory requirements on objective 1 additionality <EOS>    PP Score = 6.666
<SOS> i suggest mr evans goes back and reads the regulation <EOS>    PP Score = 8.546
<SOS> my group has made extensive amendments to both reports up for debate today <EOS>    PP Score = 5.892
<SOS> i want to focus our minds on the essential role of the guidelines <EOS>    PP Score = 8.319
<SOS> the objective is to provide a framework and tool to support and enhance economic regeneration to get the most effective use of resources in the widest partnership and to put these regions back on the road to recovery and sustainable development so that eventually they come off the regional life support machine <EOS>    PP Score = 6.103
<SOS> it is important to identify the skills and potential of our regions in the hi tech sector <EOS>    PP Score = 6.187
<SOS> it is particularly important in the light of reports in the media that europe is rapidly losing ground to the us in the hi tech growth industries of the future <EOS>    PP Score = 5.817
<SOS> the operation of the previous round of programmes is also very instructive in telling us what guidelines should not be about <EOS>    PP Score = 7.716
<SOS> they should not be about creating additional layers of bureaucracy and red tape <EOS>    PP Score = 7.319
<SOS> they should not be about shifting priorities and policies halfway through project development resulting in inevitable delays and underspends particularly in the light of the new budgetary requirement <EOS>    PP Score = 5.853
<SOS> the implementation and operation of the guidelines cannot be left to the personal interpretation of one or other desk officer either in the commission or in the civil service <EOS>    PP Score = 9.573
<SOS> there must be an internal coherence in the commission directorate while respecting the specific local and regional aspects of commission programmes <EOS>    PP Score = 7.392
<SOS> the conclusion is that we must make the case for guidelines to be broad indicative and flexible to assist our programme managers and fund users and to get the maximum potential out of our new fields of regeneration <EOS>    PP Score = 6.079
<SOS> if we can inject a spirit of entrepreneurial activity into our poor and structurally weak regions we will eventually get them back onto the road of attracting substantial investor confidence which will be the key to future success <EOS>    PP Score = 5.856
<SOS> this is how we are going to judge the success of these guidelines whether eu regional policy with a good solid enabling guideline can open up new opportunities and allow our poor and structurally weak regions to play their full part in contributing to the growth and prosperity of the eu <EOS>    PP Score = 5.464
<SOS> mr president commissioner i would like to thank mrs schroedter for an excellent report she has gone into the issue in some depth and in the committee debate she took account of many of the amendments that have been tabled regarding this report <EOS>    PP Score = 5.484
<SOS> the rapporteur has also quite rightly stated that parliament was not heard in time regarding the guidelines <EOS>    PP Score = 5.631
<SOS> hopefully the stands parliament has taken will help however in the mid term appraisal of the programmes and in their practical implementation <EOS>    PP Score = 8.570
<SOS> for the time the report grew too large when it was being debated <EOS>    PP Score = 8.010
<SOS> it contained details and issues that had already been raised in previous reports <EOS>    PP Score = 8.292
<SOS> at this stage it is more important to concentrate on assessing how we can use this process to steer union regional policy bearing in mind that the aim is to reduce regional inequality <EOS>    PP Score = 6.846
<SOS> our group emphasises the importance of the principle of subsidiarity the responsibility of member states and the role of local players in drafting and implementing programmes <EOS>    PP Score = 7.149
<SOS> our group also considers it important to take greater account of remote and peripheral areas and wishes to increase interaction between towns and rural areas <EOS>    PP Score = 4.875
<SOS> we oppose the excessive control the central administration of the union and its member states exercises and we are calling for a reduction in the bureaucracy that has taken root in the drafting and implementation of programmes <EOS>    PP Score = 6.959
<SOS> projects implemented with support from the union have had their effect watered down all too often by slow decision making and complicated administrative processes <EOS>    PP Score = 7.673
<SOS> funds have often been granted for projects which have had no lasting benefit for the area concerned <EOS>    PP Score = 9.637
<SOS> projects have to be carried out more efficiently more flexibly and they have to be made more productive <EOS>    PP Score = 10.509
<SOS> while the report was being prepared it was interesting to discuss the union s regional policy in general <EOS>    PP Score = 8.687
<SOS> for us new members it was the first time and this was a very interesting process <EOS>    PP Score = 10.070
<SOS> this report is very good and our group supports it <EOS>    PP Score = 8.162
<SOS> mr president commissioner as proof that this parliament has not yet overcome its role as a consultative and subordinate institution the excellent report by a fellow member of my group elisabeth schroedter has not been able to reach plenary sitting because the plans for regional development for the period <MOB> for objective 1 regions have been sitting in the commission s offices for several months <EOS>    PP Score = 5.639
<SOS> bearing this in mind this house should in any event demand that before the community support frameworks for the period in question are approved they be studied and submitted for debate in this parliament specifically in light of the guidelines that we have presented today <EOS>    PP Score = 7.289
<SOS> this is because we think that they are particularly able to create employment in the poorest and least developed regions and we would thus contribute to reversing the harmful trends towards inequality that exist in european society and to the move towards a fairer europe <EOS>    PP Score = 6.665
<SOS> mr president we should not forget that the main strategic objective of the structural and cohesion funds and of their coordination is to achieve economic and social cohesion <EOS>    PP Score = 6.096
<SOS> we are obliged to participate in drafting directives and also in assessing their results <EOS>    PP Score = 8.643
<SOS> we are obliged to do so because we are the representatives of the citizens in a europe of citizens and not just in a europe of states and of regions <EOS>    PP Score = 8.170
<SOS> we feel that the funds are a necessary but insufficient condition for achieving economic and social cohesion <EOS>    PP Score = 6.409
<SOS> we might be mistaken in using the gross domestic product per inhabitant as the sole indicator <EOS>    PP Score = 7.636
<SOS> some speakers have already mentioned unemployment and the fall in population <EOS>    PP Score = 8.488
<SOS> we will have to study several indicators which will enable us to see the current state of regional societies that are in a worse situation than others and how they are evolving <EOS>    PP Score = 6.694
<SOS> it is clear from some of the reports that have been presented to parliament s plenary sitting today that europe s <NUM> most prosperous regions enjoy a level of unemployment which is five times lower than in the <NUM> least prosperous regions <EOS>    PP Score = 6.829
<SOS> this fact means that the european parliament the commissioner and the commission must act decisively and strategically <EOS>    PP Score = 11.743
<SOS> i agree that the european parliament did not have the opportunity or that it was not given the opportunity as we had reached the end of the parliamentary term to discuss the directives <EOS>    PP Score = 9.253
<SOS> i do not think however that this report has come too late <EOS>    PP Score = 8.552
<SOS> we need to consider it together so that the new objective 1 programmes and the plans for regional development which have been drafted before the directives come into force can be submitted for revision and proper assessment <EOS>    PP Score = 6.651
<SOS> we all agree that we should ask that halfway through these programmes when the assessment of the directives is made parliament should be given an equally influential role on the grounds that we are the citizens representatives <EOS>    PP Score = 7.538
<SOS> our citizens cannot accept that the european union takes decisions in a way that is at least on the face of it bureaucratic <EOS>    PP Score = 8.162
<SOS> they need to see the political dimension working to see that officials accept their responsibilities and that there is communication with the citizens <EOS>    PP Score = 9.514
<SOS> this is what we are today asking the commissioner for <EOS>    PP Score = 7.737
<SOS> i would like to think that given his previous experience as a regional president he will agree to propose indicators and a strategy which will favour economic and social cohesion and not just productivity <EOS>    PP Score = 6.084
<SOS> mr president i support the main proposals of the report concerning the administration of the structural funds and the cohesion fund for the period <MOB> and the main recommendations of the report which include the following there must always be an integrated approach to the spending of eu structural and cohesion funds <EOS>    PP Score = 5.749
<SOS> member states are urged to attach greater importance to integrated strategies for revitalising relations between towns and rural areas <EOS>    PP Score = 6.250
<SOS> this latter point is of particular importance <EOS>    PP Score = 11.032
<SOS> while urban renewal in our cities is very important we must always strike a balance in our policies between promoting rural development and improving the lives of city dwellers <EOS>    PP Score = 7.345
<SOS> we do not want to build a europe of cities alone <EOS>    PP Score = 8.558
<SOS> the structural funds have played a key role in the development both of urban and rural parts of peripheral countries mainly through the upgrading of roads water treatment and related transport networks <EOS>    PP Score = 6.009
<SOS> this process will continue in accordance with the financial spending guidelines laid down by the eu leaders at their berlin summit last year which were supported by parliament at its last may plenary part session <EOS>    PP Score = 5.910
<SOS> key eu programmes between 1989 1993 <NUM> and <NUM> have certainly helped to improve the economic competitiveness of peripheral countries and objective 1 regions within europe <EOS>    PP Score = 7.548
<SOS> the key now is to consolidate and make permanent the progress made to date this would ensure that the peripheral countries and the ultraperipheral regions the poorer regions in europe are in a position to operate successfully within the new euro currency zone as well as within an ever expanding internal market where the free movement of goods persons services and capital exist <EOS>    PP Score = 5.388
<SOS> in conclusion while key infrastructure projects have been supported by the european regional development fund and the cohesion fund we should remember that the european social fund has played a very important role in helping the less well off in our society <EOS>    PP Score = 7.219
<SOS> the social fund has certainly improved our third level institutions financed our post leaving certificate programmes and put in place comprehensive schemes to help combat youth and long term unemployment assist early school leavers and promote higher standards of adult literacy <EOS>    PP Score = 5.167
<SOS> mr president on numerous occasions in the past i have disagreed with the rapporteur on her approach to regional policy issues this time however i actually agree with her <EOS>    PP Score = 5.994
<SOS> whether or not this will encourage her to continue along the same path i cannot say nevertheless i would like to commend her on her work <EOS>    PP Score = 6.313
<SOS> the second point i would like to make is that we would have preferred it if the guidelines had been added to the regulation in the form of an annex as we and mrs mccarthy as rapporteurs for the general regulation had asked <EOS>    PP Score = 5.525
<SOS> unfortunately this did not happen mr bernié is not to blame for this as it was a matter for the previous committee <EOS>    PP Score = 8.126
<SOS> i am raising the issue just to reiterate parliament s position <EOS>    PP Score = 7.866
<SOS> thirdly we broadly agree on the general guidelines provided they do not deviate from the comments we have made so far <EOS>    PP Score = 9.292
<SOS> they are particularly beneficial to the member states and i would particularly like to draw your attention to the emphasis the commission has placed on the issues of sustainable development job creation and more particularly on equal opportunities and transport issues <EOS>    PP Score = 7.371
<SOS> personally i at least am totally in favour of the guidelines <EOS>    PP Score = 10.508
<SOS> as an islander however i would like to express my dissatisfaction at the lack of recognition of island development <EOS>    PP Score = 8.058
<SOS> commissioner we shall continue to raise the issue as article 158 paragraph 1 of the treaty of amsterdam provides for an integrated policy for islands <EOS>    PP Score = 7.142
<SOS> therefore the commission should address the issue once and for all <EOS>    PP Score = 11.527
<SOS> as for us in parliament i would like to remind you of the code of conduct between the commission and parliament which was signed in may <EOS>    PP Score = 6.480
<SOS> i am absolutely certain that this code will be observed and that parliament will keep abreast of all the developments and details concerning the implementation of the programmes <EOS>    PP Score = 6.831
<SOS> mr president commissioner in this minute and a half i should like first of all to congratulate mrs schroedter <EOS>    PP Score = 8.521
<SOS> i know many have already done so but she has indeed earned our praise for being particularly open and attentive to proposals from all sides and i think it is this openness which has given her report the quality we see today <EOS>    PP Score = 5.829
<SOS> i share the regrets she expressed namely that parliament has become involved rather late in the day as regards these guidelines since by now the procedure for negotiations with the states is so far advanced that i cannot see this report having any sort of immediate effect which in my view is a pity <EOS>    PP Score = 5.502
<SOS> consequently i feel we must look to the future and establish guidelines for the mid term review in 2003 and thus have an influence on the second phase of programming set to follow <NUM> <EOS>    PP Score = 6.180
<SOS> in brief i would like to say that we are entering the period when we are called upon to manage the programming for <MOB> which must be no routine period for the good reason that we have two major challenges to face <EOS>    PP Score = 7.470
<SOS> the first is the harmonisation of national development policies and regional development policies <EOS>    PP Score = 7.866
<SOS> subsidies are not enough to ensure development when infrastructure and public services are lacking <EOS>    PP Score = 9.822
<SOS> we must ask ourselves a fundamental question how can we ensure that union policy interfaces with the subsidiary national policies for regional development <EOS>    PP Score = 5.489
<SOS> the second challenge is that of enlargement which will of course have a considerable impact both in budgetary and geographical terms <EOS>    PP Score = 7.005
<SOS> these are two areas of action which i invite the commissioner to set up and in which i would ask him to involve us <EOS>    PP Score = 9.114
<SOS> finally in this time of natural disasters i would just like to mention the issue of the use of structural funds <EOS>    PP Score = 8.204
<SOS> as you know it is up to each state to redistribute part of the total appropriation <EOS>    PP Score = 7.655
<SOS> europe should not be completely absent as the states tend to want <EOS>    PP Score = 10.103
<SOS> public opinion and the press nowadays accuse us of being unavailable to give a response even though we are going to be funding a large proportion of the national operations <EOS>    PP Score = 6.311
<SOS> i think we should be capable of saying this loud and clear <EOS>    PP Score = 8.626
<SOS> i also think we should ensure or ask member states to ensure that there is some publicity given to european aid whenever it is used to repair damage caused by natural disasters or accidents <EOS>    PP Score = 6.530
<SOS> mr president the priority given to financial and monetary criteria reinforces the increase in inequalities of every shape and form <EOS>    PP Score = 5.936
<SOS> as far as french planning experts are concerned for example the most probable scenario today is that of the entrenchment of regional disparities within each country <EOS>    PP Score = 6.834
<SOS> well the structural funds have helped to apply a brake to this process <EOS>    PP Score = 9.391
<SOS> our project of a europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator <EOS>    PP Score = 6.292
<SOS> its implementation would certainly require extending the scope of redistribution instruments such as the structural funds <EOS>    PP Score = 10.629
<SOS> what we are proposing specifically is a unified capital tax which would make it possible to boost the funds used to support the harmonisation of social protection systems and the reduction of working hours at european level <EOS>    PP Score = 6.890
<SOS> the commission however though bound to issue guidelines does so only reluctantly and in a vague manner <EOS>    PP Score = 6.426
<SOS> the report put forward today re establishes its place in the political sphere <EOS>    PP Score = 9.242
<SOS> it is one of the steps towards a policy of employment and sustainable development <EOS>    PP Score = 9.208
<SOS> this is what persuades us to vote in favour of it <EOS>    PP Score = 6.207
<SOS> mr president i too would like to congratulate the rapporteur on her excellent work <EOS>    PP Score = 3.795
<SOS> over the coming years faced with the challenges of globalisation and eastward enlargement europe will more than ever before require appropriate detailed guidance on how to plan and revitalise its economy <EOS>    PP Score = 6.191
<SOS> to this end europe as a whole and each member state individually will have to make optimum use of all available resources and capacities including the structural funds <EOS>    PP Score = 6.967
<SOS> for this to be possible what we need from the european commission are not just good intentions but clearer guidelines and a firm commitment to monitoring the way these resources are used by the member states <EOS>    PP Score = 7.159
<SOS> for example in recent years italy has had problems in utilising the structural funds mainly because of excessive bureaucracy insufficient information and a lack of involvement of economic and social operators at local level <EOS>    PP Score = 7.722
<SOS> there are therefore two points to which i would like to draw the commission s attention firstly we need to make the best possible use of consultation as a means of ensuring proper coordination and participation by all local and regional operators in decision making precisely so that imbalances and inequalities can be avoided <EOS>    PP Score = 6.393
<SOS> secondly a genuine effort is required to make administrative procedures simpler and more transparent since they are all too often unnecessarily lengthy and complicated to the point of hindering access to the funds this is something about which european small and medium sized businesses in particular tend to complain <EOS>    PP Score = 6.322
<SOS> i will conclude mr president by saying that the failure of the commission s communication to focus on territorial pacts and especially methods of combating unemployment among women and young people is cause for serious concern <EOS>    PP Score = 7.141
<SOS> mr president like my colleague mr evans it is a particular pleasure to rise and make my first speech to this house on this very important issue especially since i represent a part of the united kingdom the west midlands which has hitherto benefited from objective 2 funding in particular <EOS>    PP Score = 6.663
<SOS> but the report before the house tonight is a prime example of how if we are not very careful we can produce very grandiose sounding ideas that lack the substance to make them relevant to the people who benefit directly from them <EOS>    PP Score = 6.517
<SOS> the report itself is well intentioned but as so often when we deal with these issues lacks clarity of purpose and a sound basis for operability <EOS>    PP Score = 5.967
<SOS> that is why i and my group are proposing three key amendments and additions to the text not to take anything away from the proposal but to make it more relevant to those whom it is there to guide <EOS>    PP Score = 5.915
<SOS> i would like to explain our thinking here <EOS>    PP Score = 9.075
<SOS> firstly we are concerned with the proper use of the structural and cohesion funds <EOS>    PP Score = 7.504
<SOS> past experience dictates that as the elected representatives of the european taxpayer we should and indeed must demand financial probity and transparency in the disbursement and auditing of this money hence our amendments and additions relate to achieving what are known as value for money indicators in the grant giving process <EOS>    PP Score = 5.676
<SOS> next we all too often see vast sums of money being spent on projects whose outcomes will necessarily be unclear at the start of the programme period <EOS>    PP Score = 6.575
<SOS> but at the mid way point or end of that period there is no effective way of terminating the project if it has not proved successful <EOS>    PP Score = 6.931
<SOS> our additions therefore call for the provision of practical enforceable exit strategies so that not only can we have the requisite insurance against ongoing costs which are often loaded onto the taxpayer but we also avoid the well rehearsed syndrome of throwing good money after bad <EOS>    PP Score = 6.043
<SOS> finally we call for a change to the balance and method by which the funds are disbursed <EOS>    PP Score = 8.024
<SOS> there should be greater involvement of the private sector which will introduce financial reality as a perspective within the funding equation <EOS>    PP Score = 6.563
<SOS> also the type of project funded needs to be shifted away from small scale revenue based projects which are hard to monitor towards capital schemes where in the majority of cases the benefits are there for all to see <EOS>    PP Score = 6.028
<SOS> that way the much trumpeted need for transparency in the use of these funds and the temptation to draw unnecessarily in the longer term on the local tax base in areas where such projects are located will be diminished and the european parliament will show how seriously it takes the need for such reform <EOS>    PP Score = 6.451
<SOS> if these changes to the report are supported by the house today i believe that they will move us forward in the next phase of achieving the historic objectives which the funds were set up to bring about namely to assist in a financially sustainable manner those deprived areas of the european union which need to be brought up to a decent standard of living not by giving a hand out but by giving a hand up <EOS>    PP Score = 7.141
<SOS> i urge the house to support these changes <EOS>    PP Score = 13.132
<SOS> mr president commissioner i too would like to commend the rapporteur on her report which is a meticulous and substantive piece of work <EOS>    PP Score = 6.759
